date,external_source_group,external_feature_name,base_feature_name,feature_adjustment,value,missing_ratio,valid_count
2020-10-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.25,0.0,1
2020-10-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.8335,0.0,1
2020-10-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.125,0.0,1
2020-10-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.41650000000000004,0.0,1
2020-10-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.54175,0.0,1
2020-10-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.875,0.0,1
2020-10-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.79175,0.0,1
2020-10-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0831250000000001,0.0,1
2020-10-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.125,0.0,1
2020-10-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,3.08325,0.0,1
2020-10-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.7501249999999997,0.0,1
2020-10-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.875,0.0,1
2020-10-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.791625,0.0,1
2020-10-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.29175,0.0,1
2020-10-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.416625,0.0,1
2020-10-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.08325,0.0,1
