external_source_id,external_feature_name,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,train_period,test_period,status,error_message
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,-7D,target_precedes_external,1820,correlation+ols+logistic_probe,8.944055517857935e-05,0.23529411764705882,0.3443328550932568,0.023505559335536854,0.023505559335536854,0.019019885961156967,,,,,,0.9496699601902466,2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,-3D,target_precedes_external,1824,correlation+ols+logistic_probe,8.75529719991392e-05,0.37254901960784315,0.5019373018668546,0.022918915499964738,0.022918915499964738,-0.009409911371483093,,,,,,0.8924717783322368,2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,-1D,target_precedes_external,1826,correlation+ols+logistic_probe,0.00011272778066970654,0.29411764705882354,0.4123144584936778,0.02945131363068274,0.02945131363068274,0.011194094528558383,,,,,,0.891489220168914,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,-12H,target_precedes_external,1826,correlation+ols+logistic_probe,0.00011272778066970654,0.29411764705882354,0.4123144584936778,0.02945131363068274,0.02945131363068274,0.011194094528558383,,,,,,0.891489220168914,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,0.00011272778066970654,0.13725490196078433,0.2221752010156581,0.02945131363068274,0.02945131363068274,0.011194094528558383,,,,,,0.891489220168914,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,0.00011272778066970654,0.09803921568627451,0.16523463317911435,0.02945131363068274,0.02945131363068274,0.011194094528558383,,,,,,0.891489220168914,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,1H,external_precedes_target,1827,correlation+ols+logistic_probe,0.00014348470220336526,0.09803921568627451,0.16523463317911435,0.03745050776543169,0.03745050776543169,0.06070220763866422,,,,,,0.9480599625406916,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,6H,external_precedes_target,1827,correlation+ols+logistic_probe,0.00014348470220336526,0.13725490196078433,0.2221752010156581,0.03745050776543169,0.03745050776543169,0.06070220763866422,,,,,,0.9480599625406916,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,12H,external_precedes_target,1827,correlation+ols+logistic_probe,0.00014348470220336526,0.0784313725490196,0.13706453455168477,0.03745050776543169,0.03745050776543169,0.06070220763866422,,,,,,0.9480599625406916,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,1D,external_precedes_target,1826,correlation+ols+logistic_probe,4.437151029282962e-05,0.7254901960784313,0.8192486530371245,0.011581787256383022,0.011581787256383022,0.014244433016967824,,,,,,0.8797612026411635,2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,3D,external_precedes_target,1824,correlation+ols+logistic_probe,-2.5190693813370926e-05,0.8823529411764706,0.9309702779118681,-0.00657680081909294,-0.00657680081909294,-0.00581972053038736,,,,,,0.8849506356371091,2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,max_magnitude,7D,external_precedes_target,1820,correlation+ols+logistic_probe,2.1603081134765492e-07,1.0,1.0,5.643368000242254e-05,5.643368000242254e-05,0.01038917294700467,,,,,,0.8923228144157914,2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,-7D,target_precedes_external,1820,correlation+ols+logistic_probe,-0.0060376265941926195,0.11764705882352941,0.19427954668105774,-0.03251451601413102,-0.03251451601413102,0.04339772567550962,,,,,,1.0956322398478122,2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,-3D,target_precedes_external,1824,correlation+ols+logistic_probe,-0.006153201696799529,0.13725490196078433,0.2221752010156581,-0.03304382922214042,-0.03304382922214042,0.06907037663677662,,,,,,1.1286293418893003,2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,-1D,target_precedes_external,1826,correlation+ols+logistic_probe,-0.003081321213753582,0.5490196078431373,0.6806028196402529,-0.016524167291571662,-0.016524167291571662,0.08300158722744422,,,,,,1.1802808654402408,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,-12H,target_precedes_external,1826,correlation+ols+logistic_probe,-0.003081321213753582,0.4117647058823529,0.5441824306815237,-0.016524167291571662,-0.016524167291571662,0.08300158722744422,,,,,,1.1802808654402408,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,-0.003081321213753582,0.43137254901960786,0.5634764791257577,-0.016524167291571662,-0.016524167291571662,0.08300158722744422,,,,,,1.1802808654402408,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,-0.003081321213753582,0.49019607843137253,0.627562547067191,-0.016524167291571662,-0.016524167291571662,0.08300158722744422,,,,,,1.1802808654402408,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,1H,external_precedes_target,1827,correlation+ols+logistic_probe,0.0007488769184367497,0.803921568627451,0.8738277919863597,0.0040132326834879445,0.0040132326834879445,0.07742439992322488,,,,,,1.2084430167437579,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
